"LSOA01","Name","Annual Average Electricity Domestic Consumption  (kWh)(2007)","Annual Average Electricity Domestic Consumption  (kWh)(2008)","Annual Average Electricity Domestic Consumption  (kWh)(2009)","Annual Average Electricity Domestic Consumption  (kWh)(2010)","Annual Average Ordinary Electricity Domestic Consumption  (kWh)(2007)","Annual Average Ordinary Electricity Domestic Consumption  (kWh)(2008)","Annual Average Ordinary Electricity Domestic Consumption  (kWh)(2009)","Annual Average Ordinary Electricity Domestic Consumption  (kWh)(2010)","Annual Average Economy 7 Electricity Domestic Consumption  (kWh)(2007)","Annual Average Economy 7 Electricity Domestic Consumption  (kWh)(2008)","Annual Average Economy 7 Electricity Domestic Consumption  (kWh)(2009)","Annual Average Economy 7 Electricity Domestic Consumption  (kWh)(2010)","Annual Total Domestic Electricity Consumption  (kWh)(2007)","Annual Total Domestic Electricity Consumption  (kWh)(2008)","Annual Total Domestic Electricity Consumption  (kWh)(2009)","Annual Total Domestic Electricity Consumption  (kWh)(2010)","Annual Ordinary Domestic Electricity Consumption  (kWh)(2007)","Annual Ordinary Domestic Electricity Consumption  (kWh)(2008)","Annual Ordinary Domestic Electricity Consumption  (kWh)(2009)","Annual Ordinary Domestic Electricity Consumption  (kWh)(2010)","Annual Economy 7 Domestic Electricity Consumption  (kWh)(2007)","Annual Economy 7 Domestic Electricity Consumption  (kWh)(2008)","Annual Economy 7 Domestic Electricity Consumption  (kWh)(2009)","Annual Economy 7 Domestic Electricity Consumption  (kWh)(2010)","Number of Ordinary Domestic Meters(2010)","Number of Economy 7 Meters(2010)",
"_E01014565","Gilbert Road","3819","3756","3507","3547","3350.0","3316.0","3082.0","3238.0","5752.0","5628.0","5346.0","4862.0","2971199","2978795","2805361","2866174","2096833.0","2129027.0","2003412.0","2117456.0","874366.0","849768.0","801948.0","748718.0","654","154.0",
"_E01014566","Church Road","3687","3294","3227","3287","3229.0","2955.0","2883.0","2975.0","5623.0","4721.0","4729.0","4705.0","3163320","2826357","2803985","2915682","2241128.0","2047457.0","2037946.0","2162898.0","922192.0","778899.0","766039.0","752784.0","727","160.0",
"_E01014567","Netham","3359","3191","3112","3085","3160.0","2969.0","2979.0","2943.0","5984.0","6163.0","4903.0","4940.0","2915263","2846005","2800533","2733369","2550228.0","2463881.0","2496519.0","2422179.0","365034.0","382124.0","304014.0","311190.0","823","63.0",
"_E01014568","St Marks Road","3736","3323","3286","3319","3434.0","2980.0","2993.0","3041.0","7023.0","6420.0","6122.0","5924.0","3773277","3432287","3443278","3478289","3176316.0","2771044.0","2843358.0","2879977.0","596961.0","661244.0","599920.0","598312.0","947","101.0",
"_E01014569","Robertson Road","3738","3382","3421","3215","3501.0","3173.0","3232.0","3006.0","7356.0","6525.0","6363.0","6588.0","3162670","2925832","3013558","2870950","2780163.0","2573499.0","2676341.0","2528365.0","382506.0","352333.0","337217.0","342586.0","841","52.0",
"_E01014570","Whitehall","3337","3145","3190","3172","3211.0","3006.0","3054.0","3043.0","5473.0","5664.0","5585.0","5495.0","2702925","2584973","2612804","2600878","2456659.0","2341418.0","2367082.0","2364574.0","246266.0","243555.0","245722.0","236303.0","777","43.0",
"_E01014571","Whitefield Fishponds","4135","3864","3816","3915","3688.0","3434.0","3443.0","3556.0","6387.0","6097.0","5804.0","5849.0","2696310","2531208","2583358","2650439","2006473.0","1884980.0","1962359.0","2030450.0","689837.0","646229.0","620999.0","619988.0","571","106.0",
"_E01014572","Fishponds Road","3870","3760","3848","3601","3675.0","3519.0","3543.0","3436.0","5538.0","5757.0","6610.0","5170.0","2933132","2895025","3020371","2837204","2495610.0","2417192.0","2504795.0","2449479.0","437522.0","477833.0","515575.0","387725.0","713","75.0",
"_E01014573","Upper Eastville","4592","4354","4316","4076","3901.0","3744.0","3736.0","3573.0","6316.0","5937.0","5806.0","5390.0","3834287","3644564","3651489","3460654","2324700.0","2261190.0","2275503.0","2194018.0","1509587.0","1383374.0","1375986.0","1266636.0","614","235.0",
"_E01014574","Greenbank","4087","3778","3670","3602","3359.0","3056.0","3111.0","3067.0","6087.0","5764.0","5290.0","5161.0","3993447","3743644","3746876","3706897","2404778.0","2222033.0","2361010.0","2349538.0","1588669.0","1521611.0","1385866.0","1357360.0","766","263.0",
"_E01014575","Eastville Park","3589","3586","3370","3376","3415.0","3487.0","3261.0","3193.0","5611.0","4742.0","4724.0","5714.0","2404611","2438598","2311502","2325978","2107240.0","2182534.0","2070574.0","2040275.0","297371.0","256063.0","240928.0","285703.0","639","50.0",
"_E01014576","Rose Green","3748","3588","3719","3640","3470.0","3332.0","3486.0","3405.0","5838.0","5570.0","5500.0","5428.0","3166754","3042683","3142950","3071966","2588819.0","2502402.0","2603918.0","2540047.0","577936.0","540280.0","539033.0","531919.0","746","98.0",
"_E01014577","Stapleton","4613","4183","4331","4337","4325.0","3950.0","4047.0","4067.0","6979.0","6190.0","6811.0","6775.0","3109090","2819294","2906003","2918505","2599597.0","2385991.0","2436026.0","2464616.0","509493.0","433304.0","469977.0","453889.0","606","67.0",
"_E01014578","Wedmore Vale","4256","3837","4083","3739","4182.0","3776.0","4028.0","3696.0","5440.0","4930.0","5012.0","4544.0","2958139","2678073","2862148","2624526","2735089.0","2495651.0","2666664.0","2465503.0","223050.0","182422.0","195484.0","159023.0","667","35.0",
"_E01014579","Novers","3931","4165","4099","4028","3768.0","4068.0","3892.0","3868.0","6532.0","5715.0","7313.0","6641.0","2256545","2453410","2377309","2368373","2034471.0","2253397.0","2121349.0","2142577.0","222074.0","200013.0","255960.0","225796.0","554","34.0",
"_E01014580","Inns Court","4197","3936","3849","3974","3903.0","3664.0","3582.0","3782.0","5759.0","5348.0","5194.0","4948.0","2988561","2798794","2744501","2845468","2337767.0","2183804.0","2131562.0","2261653.0","650794.0","614989.0","612939.0","583815.0","598","118.0",
"_E01014581","Filwood Broadway","3828","3881","4021","3873","3652.0","3713.0","3857.0","3696.0","5583.0","5529.0","5824.0","5692.0","2568377","2600233","2661613","2572003","2227837.0","2257450.0","2341322.0","2236163.0","340540.0","342783.0","320291.0","335841.0","605","59.0",
"_E01014582","Leinster Avenue","4084","4327","3948","3968","4041.0","4226.0","3860.0","3912.0","4676.0","5758.0","5252.0","4792.0","2099162","2241235","2139578","2146935","1935495.0","2045461.0","1961007.0","1979228.0","163667.0","195774.0","178571.0","167707.0","506","35.0",
"_E01014583","Throgmorton Road","4093","3813","3930","3887","4079.0","3806.0","3914.0","3905.0","4335.0","3943.0","4235.0","3590.0","2238957","2085730","2181390","2153286","2104567.0","1971382.0","2058588.0","2038409.0","134390.0","114348.0","122801.0","114877.0","522","32.0",
"_E01014584","Glyn Vale","4611","4379","4176","4177","4548.0","4253.0","4127.0","4162.0","5498.0","6474.0","4915.0","4404.0","2277941","2167421","2067223","2084499","2096513.0","1986144.0","1914847.0","1947986.0","181427.0","181277.0","152376.0","136514.0","468","31.0",
"_E01014585","Ilminster Avenue West","3796","3537","3502","3931","3656.0","3439.0","3439.0","3860.0","5922.0","5283.0","4563.0","5106.0","2345646","2412052","2388198","2778908","2120608.0","2221861.0","2214799.0","2574671.0","225038.0","190191.0","173399.0","204237.0","667","40.0",
"_E01014586","Oldbury Court","4644","4386","4410","4360","3762.0","3549.0","3493.0","3482.0","7443.0","7031.0","7426.0","7282.0","3255478","3065611","3100349","3073991","2005021.0","1884473.0","1882572.0","1886996.0","1250457.0","1181138.0","1217777.0","1186995.0","542","163.0",
"_E01014587","Broomhill","3986","3981","3821","3720","3597.0","3681.0","3569.0","3422.0","5441.0","5137.0","4840.0","4934.0","2435394","2448557","2369128","2317729","1733522.0","1796162.0","1773863.0","1710798.0","701873.0","652394.0","595264.0","606931.0","500","123.0",
"_E01014588","Blackberry Hill","3889","3730","3602","3512","3358.0","3203.0","3160.0","3140.0","7788.0","7487.0","6660.0","5867.0","2885986","2942717","2852522","2855585","2192852.0","2216503.0","2186518.0","2204321.0","693134.0","726214.0","666004.0","651263.0","702","111.0",
"_E01014589","Gill Avenue","3426","3089","3394","3303","3112.0","2784.0","3137.0","3065.0","5722.0","5388.0","5307.0","5135.0","2275036","2057177","2263994","2206512","1817254.0","1636941.0","1844719.0","1811096.0","457781.0","420237.0","419275.0","395416.0","591","77.0",
"_E01014590","Fishponds","4434","4168","4106","4171","3831.0","3673.0","3610.0","3666.0","6866.0","6303.0","6294.0","6442.0","3258687","3163823","3112337","3165433","2256236.0","2262545.0","2231146.0","2276506.0","1002450.0","901278.0","881190.0","888928.0","621","138.0",
"_E01014591","Downend West","3985","3750","3644","3659","3635.0","3469.0","3426.0","3443.0","6714.0","6019.0","5524.0","5562.0","3159929","2959071","2977220","2989136","2555701.0","2435437.0","2507714.0","2527453.0","604228.0","523634.0","469506.0","461682.0","734","83.0",
"_E01014592","Staple Hill Road North","3897","3664","3628","3673","3498.0","3322.0","3342.0","3384.0","8291.0","7471.0","6812.0","6960.0","2626326","2488034","2463688","2497746","2162047.0","2069679.0","2082209.0","2114938.0","464278.0","418355.0","381479.0","382808.0","625","55.0",
"_E01014593","Fulford Road North","3818","4105","3990","4079","3727.0","4023.0","3937.0","4011.0","5445.0","5600.0","4954.0","5270.0","2244828","2438572","2370330","2414609","2076031.0","2264966.0","2216751.0","2245958.0","168797.0","173607.0","153580.0","168650.0","560","32.0",
"_E01014594","Whitchurch Lane","3649","3714","3634","3687","3607.0","3657.0","3599.0","3690.0","4926.0","5110.0","4309.0","3637.0","2517702","2573631","2507596","2544036","2409323.0","2435667.0","2361093.0","2420378.0","108379.0","137964.0","146504.0","123658.0","656","34.0",
"_E01014595","Withywood","3829","3910","3497","3746","3719.0","3816.0","3407.0","3646.0","5522.0","5241.0","4743.0","5120.0","2381572","2435800","2213877","2371187","2171752.0","2220904.0","2009947.0","2151031.0","209819.0","214897.0","203931.0","220155.0","590","43.0",
"_E01014596","Fair Furlong","4252","4142","4401","4352","4234.0","4093.0","4382.0","4307.0","4681.0","5354.0","4842.0","5426.0","2517024","2439530","2605518","2576490","2404687.0","2316381.0","2484463.0","2446276.0","112338.0","123149.0","121055.0","130214.0","568","24.0",
"_E01014597","Bishport Avenue West","3840","3762","3841","3672","3755.0","3682.0","3764.0","3625.0","5742.0","5496.0","5328.0","4594.0","2503821","2557868","2577533","2478875","2343040.0","2392981.0","2401703.0","2327273.0","160780.0","164887.0","175829.0","151602.0","642","33.0",
"_E01014598","Imperial Park","4063","3887","3901","3737","3873.0","3723.0","3734.0","3602.0","9261.0","8462.0","8794.0","7902.0","2535580","2468079","2485066","2383895","2331842.0","2281922.0","2300402.0","2225854.0","203738.0","186157.0","184664.0","158041.0","618","20.0",
"_E01014599","Headley Park","4178","4050","4141","3824","3903.0","3766.0","3819.0","3546.0","6878.0","7247.0","7948.0","7463.0","2256208","2183196","2331612","2267347","1912318.0","1864314.0","1981906.0","1953914.0","343890.0","318882.0","349706.0","313433.0","551","42.0",
"_E01014600","Whitchurch Road","4228","4088","4153","4080","4098.0","3922.0","4045.0","3970.0","6393.0","6979.0","5883.0","5853.0","2392946","2322252","2267470","2227858","2188358.0","2105914.0","2079205.0","2040552.0","204587.0","216338.0","188265.0","187306.0","514","32.0",
"_E01014601","Brentry West","3900","3592","3718","3715","3708.0","3447.0","3540.0","3557.0","6915.0","5916.0","6572.0","6122.0","2660036","2446428","2539304","2533372","2376511.0","2209787.0","2276433.0","2276247.0","283525.0","236641.0","262871.0","257125.0","640","42.0",
"_E01014602","Henbury","3543","3129","3222","3269","3278.0","2872.0","3072.0","3190.0","5505.0","5090.0","4370.0","3879.0","2954455","2619260","2700291","2742778","2409505.0","2125530.0","2276387.0","2370372.0","544951.0","493731.0","423904.0","372406.0","743","96.0",
"_E01014603","Brentry East","3947","3584","3617","3626","3617.0","3321.0","3401.0","3323.0","8507.0","7114.0","6583.0","7685.0","3922869","3616059","3681790","3705741","3352902.0","3118065.0","3227575.0","3160098.0","569967.0","497994.0","454215.0","545644.0","951","71.0",
"_E01014604","Blaise Hamlet","4816","4414","4263","4170","4234.0","3792.0","3687.0","3682.0","8200.0","8487.0","8536.0","8219.0","3048760","2899712","3052241","3181363","2286143.0","2161349.0","2326710.0","2507431.0","762617.0","738363.0","725532.0","673933.0","681","82.0",
"_E01014605","Crow Lane","3136","2925","2791","2918","3036.0","2775.0","2649.0","2852.0","4480.0","4986.0","4595.0","3766.0","2580945","2497810","2413889","2512375","2325586.0","2208625.0","2124398.0","2278903.0","255359.0","289186.0","289491.0","233472.0","799","62.0",
"_E01014606","Blaise Castle","4212","4020","3943","4008","3653.0","3473.0","3448.0","3584.0","7324.0","7166.0","6787.0","6459.0","3735690","3665884","3592300","3667401","2747007.0","2698417.0","2676027.0","2795490.0","988684.0","967467.0","916273.0","871911.0","780","135.0",
"_E01014607","Hengrove Park","4169","3904","3822","3730","4063.0","3788.0","3689.0","3632.0","5734.0","5817.0","5876.0","5249.0","2242781","2127439","2136249","2085197","2047834.0","1947104.0","1936476.0","1906726.0","194946.0","180335.0","199774.0","178471.0","525","34.0",
"_E01014608","Hengrove West","4397","4254","4161","3974","3766.0","3738.0","3632.0","3513.0","6918.0","6384.0","6794.0","6359.0","2941774","2837224","3133434","2996175","2014723.0","2007342.0","2277383.0","2220377.0","927052.0","829882.0","856051.0","775799.0","632","122.0",
"_E01014609","Two Acres","5061","4505","4717","4345","3899.0","3451.0","3893.0","3597.0","7238.0","6820.0","6432.0","6059.0","3694545","3500106","3315744","3076081","1856054.0","1842842.0","1849190.0","1773333.0","1838491.0","1657264.0","1466555.0","1302748.0","493","215.0",
"_E01014610","Wharnecliffe Gardens","3584","3380","3379","3434","3373.0","3083.0","3128.0","3172.0","4561.0","4739.0","4550.0","4668.0","2583799","2450255","2456229","2509935","1999932.0","1834206.0","1873774.0","1912494.0","583867.0","616049.0","582456.0","597441.0","603","128.0",
"_E01014611","Fortfield West","4172","4102","4016","3933","3943.0","3882.0","3817.0","3806.0","7710.0","7575.0","7353.0","6077.0","2406971","2415895","2357393","2320526","2137118.0","2150773.0","2114736.0","2119988.0","269854.0","265122.0","242658.0","200538.0","557","33.0",
"_E01014612","Fortfield East","4352","3925","3793","3925","3799.0","3577.0","3448.0","3637.0","9268.0","6956.0","6936.0","6644.0","2841806","2558826","2488444","2575103","2230103.0","2092758.0","2037624.0","2156506.0","611704.0","466069.0","450820.0","418597.0","593","63.0",
"_E01014613","Hengrove Lane","4117","3880","3944","3895","3794.0","3501.0","3605.0","3613.0","6953.0","7348.0","7194.0","6767.0","2655505","2518027","2670299","2656506","2196586.0","2047767.0","2209898.0","2243729.0","458919.0","470260.0","460401.0","412777.0","621","61.0",
"_E01014614","Hengrove East","4328","4285","4115","4052","4207.0","4155.0","3986.0","3889.0","6067.0","6165.0","5981.0","6424.0","2263709","2262358","2172693","2139427","2057430.0","2052741.0","1969329.0","1921011.0","206279.0","209617.0","203364.0","218416.0","494","34.0",
"_E01014615","Golden Hill","4213","4013","4059","4029","4145.0","3965.0","4005.0","4006.0","7368.0","6089.0","6354.0","5028.0","2595138","2483856","2504254","2498105","2499355.0","2398615.0","2415298.0","2427714.0","95782.0","85241.0","88956.0","70392.0","606","14.0",
"_E01014616","Henleaze West","5268","4914","5111","4993","4345.0","4173.0","4416.0","4449.0","7633.0","6850.0","6970.0","6472.0","3903607","3641047","3812699","3714663","2315844.0","2236763.0","2397878.0","2420332.0","1587763.0","1404284.0","1414821.0","1294332.0","544","200.0",
"_E01014617","West Broadway","4382","4120","4072","4103","4339.0","4079.0","4044.0","4047.0","5525.0","5218.0","4833.0","5658.0","2326782","2183445","2174665","2215721","2221807.0","2084307.0","2082841.0","2108219.0","104975.0","99138.0","91824.0","107502.0","521","19.0",
"_E01014618","Henleaze North","4285","4139","4132","4133","4191.0","4003.0","4033.0","4045.0","6613.0","7713.0","6639.0","6583.0","2772175","2694708","2726800","2739986","2606839.0","2509609.0","2560820.0","2588580.0","165336.0","185099.0","165980.0","151406.0","640","23.0",
"_E01014619","North View","4498","4188","4275","4297","4301.0","3955.0","4080.0","4151.0","6541.0","6767.0","6422.0","6129.0","2765985","2575786","2667441","2676938","2412745.0","2230669.0","2333480.0","2394994.0","353240.0","345117.0","333961.0","281944.0","577","46.0",
"_E01014620","Henleaze South","4429","4222","4129","4132","3983.0","3777.0","3752.0","3780.0","8210.0","7940.0","7276.0","7130.0","2936370","2803561","2741398","2752150","2361640.0","2239856.0","2224830.0","2253043.0","574730.0","563704.0","516568.0","499107.0","596","70.0",
"_E01014621","Westbury Park North","4675","4526","4379","4405","4387.0","4245.0","4112.0","4185.0","6930.0","6688.0","6512.0","6197.0","2804947","2756444","2675503","2704472","2333715.0","2288257.0","2232678.0","2289266.0","471232.0","468186.0","442826.0","415207.0","547","67.0",
"_E01014622","Hillfields West","3954","3723","3666","3693","3793.0","3592.0","3556.0","3604.0","6029.0","5420.0","5142.0","4902.0","2629367","2497918","2478461","2499847","2339981.0","2237780.0","2236812.0","2274357.0","289386.0","260138.0","241649.0","225490.0","631","46.0",
"_E01014623","Mayfield Park","4094","3595","3786","3844","3830.0","3443.0","3538.0","3573.0","7289.0","5519.0","7042.0","7033.0","2575216","2264796","2411468","2456045","2225350.0","2010941.0","2094561.0","2104385.0","349866.0","253856.0","316907.0","351660.0","589","50.0",
"_E01014624","Lodge Hill","3874","3680","3866","3785","3736.0","3604.0","3765.0","3716.0","6174.0","5124.0","5849.0","5089.0","2518345","2484143","2625148","2577541","2289901.0","2309941.0","2432133.0","2404531.0","228444.0","174202.0","193015.0","173010.0","647","34.0",
"_E01014625","Hillfields East","3895","3710","3885","3781","3691.0","3507.0","3708.0","3589.0","7647.0","7320.0","6969.0","7023.0","2563075","2437389","2572139","2510336","2303076.0","2181183.0","2321261.0","2250469.0","259999.0","256205.0","250878.0","259867.0","627","37.0",
"_E01014626","Speedwell","3239","3160","3265","3105","3006.0","2901.0","3027.0","2891.0","6940.0","7644.0","7680.0","7472.0","2684861","2714583","2935342","2993292","2344789.0","2355312.0","2582048.0","2657061.0","340072.0","359271.0","353294.0","336231.0","919","45.0",
"_E01014627","Chester Park","4204","4060","3948","3818","3760.0","3609.0","3517.0","3454.0","5696.0","5642.0","5439.0","5110.0","3846914","3787895","3714797","3596467","2650727.0","2620076.0","2567218.0","2538808.0","1196187.0","1167819.0","1147579.0","1057660.0","735","207.0",
"_E01014628","Staple Hill Road South","3543","3243","3404","3393","3361.0","3075.0","3175.0","3211.0","6569.0","6035.0","7338.0","6546.0","2242915","2059034","2168468","2178381","2006446.0","1841793.0","1911645.0","1949264.0","236469.0","217241.0","256823.0","229117.0","607","35.0",
"_E01014629","Hillfields North","3953","3652","3888","3860","3917.0","3588.0","3870.0","3805.0","4920.0","5413.0","4348.0","5160.0","2225296","2077836","2208182","2207771","2126893.0","1969569.0","2116881.0","2089082.0","98403.0","108267.0","91301.0","118689.0","549","23.0",
"_E01014630","Sheridan Road","3378","3116","3030","2954","3345.0","3045.0","2968.0","2879.0","4418.0","5483.0","4752.0","5213.0","3114339","2794827","2717656","2652750","2990634.0","2652263.0","2570340.0","2501570.0","123706.0","142564.0","147316.0","151180.0","869","29.0",
"_E01014631","Monks Park","3721","3376","3251","3307","3623.0","3263.0","3179.0","3212.0","6139.0","6373.0","5489.0","7251.0","1812251","1674341","1774816","1822420","1695607.0","1559630.0","1681502.0","1728161.0","116644.0","114711.0","93314.0","94259.0","538","13.0",
"_E01014632","Filton Road","4364","4040","3794","3566","3805.0","3543.0","3310.0","3340.0","7180.0","6951.0","7024.0","5412.0","2688191","2383359","2299390","2317906","1955812.0","1785590.0","1744535.0","1933654.0","732379.0","597769.0","554855.0","384252.0","579","71.0",
"_E01014633","Manor Farm","4083","3737","3775","3644","3652.0","3416.0","3481.0","3403.0","9313.0","7751.0","7411.0","6796.0","2788784","2571065","2620007","2616591","2304528.0","2175757.0","2234652.0","2269973.0","484256.0","395308.0","385356.0","346618.0","667","51.0",
"_E01014634","Keys Avenue","3675","3338","3290","3284","3517.0","3178.0","3137.0","3174.0","5905.0","5731.0","5836.0","5242.0","2502697","2346667","2329058","2344482","2236989.0","2094514.0","2095622.0","2145272.0","265708.0","252153.0","233436.0","199210.0","676","38.0",
"_E01014635","Wessex Avenue","3931","3763","3659","3644","3615.0","3579.0","3464.0","3426.0","9485.0","7055.0","7173.0","7562.0","2995556","2916521","2850449","2842091","2606673.0","2627276.0","2556343.0","2532033.0","388883.0","289245.0","294106.0","310058.0","739","41.0",
"_E01014636","Horfield Common","3594","3485","3411","3469","3263.0","3175.0","3221.0","3227.0","6603.0","6457.0","5357.0","6112.0","2360994","2286054","2268207","2314130","1931784.0","1885725.0","1952121.0","1971886.0","429210.0","400330.0","316086.0","342244.0","611","56.0",
"_E01014637","Wellington Hill","4105","3718","3783","3579","3909.0","3539.0","3650.0","3442.0","6786.0","6558.0","5981.0","6018.0","2229173","2067209","2126068","2018582","1978082.0","1850804.0","1934694.0","1838043.0","251091.0","216405.0","191374.0","180540.0","534","30.0",
"_E01014638","Lawrence Weston Parade","3777","3728","3548","3714","3213.0","3240.0","3121.0","3171.0","7014.0","6579.0","6179.0","7102.0","3055537","3086695","3022755","3145491","2213896.0","2290597.0","2287475.0","2314602.0","841641.0","796099.0","735280.0","830889.0","730","117.0",
"_E01014639","Lawrence Weston South","3784","3475","3364","3398","3736.0","3303.0","3289.0","3349.0","4141.0","4749.0","3941.0","3782.0","2516317","2314030","2250517","2266576","2189212.0","1938863.0","1947075.0","1979121.0","327105.0","375166.0","303442.0","287455.0","591","76.0",
"_E01014640","Lawrence Weston East","4179","3928","3982","4014","3940.0","3701.0","3812.0","3906.0","6723.0","6077.0","5694.0","5122.0","2582516","2467053","2504713","2525012","2226183.0","2102408.0","2180181.0","2238181.0","356333.0","364645.0","324532.0","286831.0","573","56.0",
"_E01014641","Coombe Dingle East","4351","4012","4071","4088","4082.0","3810.0","3905.0","3882.0","6866.0","6035.0","5766.0","6419.0","2828412","2596067","2646034","2665540","2395856.0","2240019.0","2311599.0","2325344.0","432556.0","356048.0","334435.0","340196.0","599","53.0",
"_E01014642","Coombe Dingle West","4130","3933","3849","3897","3838.0","3768.0","3708.0","3783.0","6635.0","5383.0","5094.0","4963.0","2651382","2537102","2497774","2525428","2206835.0","2181801.0","2161571.0","2212781.0","444548.0","355301.0","336203.0","312647.0","585","63.0",
"_E01014643","Sea Mills South","4539","4316","4410","4113","4012.0","3909.0","4096.0","3773.0","7336.0","6479.0","6121.0","6031.0","2492011","2369676","2447397","2295087","1853764.0","1805978.0","1921021.0","1788477.0","638247.0","563698.0","526376.0","506610.0","474","84.0",
"_E01014644","Sea Mills North","4309","3943","4026","4070","4139.0","3785.0","3745.0","3895.0","5813.0","5382.0","6589.0","5699.0","2796579","2582861","2653071","2690304","2412946.0","2233005.0","2224806.0","2325553.0","383634.0","349856.0","428265.0","364751.0","597","64.0",
"_E01014645","Red Lion Hill","4286","4053","3948","3965","4138.0","3919.0","3794.0","3843.0","6735.0","6349.0","6670.0","6252.0","3017072","2849589","2806997","2827045","2747688.0","2601985.0","2553524.0","2601973.0","269384.0","247604.0","253473.0","225072.0","677","36.0",
"_E01014646","Knowle Park","4326","4183","4095","4024","4138.0","4026.0","3935.0","3879.0","6776.0","6394.0","6406.0","6273.0","2781834","2710739","2661466","2652088","2470122.0","2435799.0","2392430.0","2401188.0","311712.0","274940.0","269035.0","250901.0","619","40.0",
"_E01014647","Ilminster Avenue East","3920","3724","3837","3821","3812.0","3674.0","3782.0","3761.0","5652.0","4579.0","4797.0","4836.0","2536052","2405813","2490337","2487281","2321281.0","2240973.0","2322441.0","2313191.0","214771.0","164840.0","167896.0","174090.0","615","36.0",
"_E01014648","Upper Knowle","4014","3820","3862","3812","3917.0","3732.0","3798.0","3776.0","5595.0","5369.0","4964.0","4483.0","2785662","2681713","2679986","2649420","2561856.0","2477694.0","2491367.0","2488051.0","223806.0","204019.0","188619.0","161370.0","659","36.0",
"_E01014649","Redcatch","3898","3903","3858","3742","3688.0","3712.0","3703.0","3575.0","6612.0","6198.0","5910.0","6032.0","2716600","2736277","2746586","2649216","2386006.0","2401590.0","2451084.0","2359667.0","330594.0","334687.0","295501.0","289549.0","660","48.0",
"_E01014650","Broadwalk","4138","3929","3691","3829","3992.0","3710.0","3562.0","3662.0","5917.0","6625.0","5354.0","6179.0","2726770","2616765","2454652","2538817","2430934.0","2285525.0","2197660.0","2266949.0","295837.0","331240.0","256992.0","271868.0","619","44.0",
